LFQ intensity Col0_Minus_BR1	LFQ intensity Col0_Minus_BR2	LFQ intensity Col0_Minus_BR3	LFQ intensity Col0_Plus_BR1	LFQ intensity Col0_Plus_BR2	LFQ intensity Col0_Plus_BR3	LFQ intensity PAG1_Minus_BR1	LFQ intensity PAG1_Minus_BR2	LFQ intensity PAG1_Minus_BR3	LFQ intensity PAG1_Plus_BR1	LFQ intensity PAG1_Plus_BR2	LFQ intensity PAG1_Plus_BR3	LFQ intensity RPT4a_Minus_BR1	LFQ intensity RPT4a_Minus_BR2	LFQ intensity RPT4a_Minus_BR3	LFQ intensity RPT4a_Plus_BR1	LFQ intensity RPT4a_Plus_BR2	LFQ intensity RPT4a_Plus_BR3	LFQ intensity RPT4b_Minus_BR1	LFQ intensity RPT4b_Minus_BR2	LFQ intensity RPT4b_Minus_BR3	LFQ intensity RPT4b_Plus_BR1	LFQ intensity RPT4b_Plus_BR2	LFQ intensity RPT4b_Plus_BR3	C: Only identified by site	C: Reverse	C: Potential contaminant	C: ProteasomeAnnotation	C: SubComplexAnnotation	C: GraphGroup	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS Count	T: Protein IDs	T: Majority protein IDs	T: Fasta headers
22.13	22.1973	23.4941	NaN	22.008	22.6522	22.283	22.4153	22.5753	NaN	NaN	NaN	23.2557	22.9597	23.2301	NaN	NaN	NaN	23.7877	22.348	23.625	NaN	NaN	22.7726							6	6	6	22.5	22.5	22.5	32.356	0	15.958	227590000	20	AT1G02560.1	AT1G02560.1	"AT1G02560.1 | Symbols: CLPP5, NCLPP5, NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298"
26.427	26.8322	26.2696	24.1309	24.5858	26.1226	27.3331	27.6276	27.6266	26.6392	25.4291	26.8042	27.0679	27.2024	26.8196	26.2286	25.0122	27.0377	27.1948	26.8509	27.1849	26.7624	25.4459	26.8025							12	12	10	43.9	43.9	35.5	24.606	0	128.68	5232500000	327	AT1G02780.1;AT4G02230.1	AT1G02780.1;AT4G02230.1	AT1G02780.1 | Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214;AT4G02230.1 | Symbols:  | Ribosomal protein L19e family protein | chr4:979391-980640 REVERSE LENGTH=208
NaN	20.2378	NaN	NaN	NaN	NaN	23.5684	24.091	22.2199	21.7024	NaN	21.0139	21.29	21.3575	21.2788	21.38	20.1752	21.5396	21.1732	NaN	NaN	20.7608	NaN	21.7418							3	3	3	4.4	4.4	4.4	135.99	0	35.95	103770000	9	AT1G02890.1;AT4G02480.1;AT1G02890.2;AT1G62130.1;AT4G24860.1	AT1G02890.1;AT4G02480.1;AT1G02890.2	AT1G02890.1 | Symbols:  | AAA-type ATPase family protein | chr1:645372-651797 REVERSE LENGTH=1246;AT4G02480.1 | Symbols:  | AAA-type ATPase family protein | chr4:1082082-1088680 REVERSE LENGTH=1265;AT1G02890.2 | Symbols:  | AAA-type ATPase family protein |
NaN	20.9926	NaN	NaN	21.0593	NaN	NaN	NaN	NaN	22.3086	NaN	NaN	22.4634	NaN	21.6664	23.586	20.6834	22.3737	23.1164	NaN	20.6858	21.8775	NaN	21.2145							4	3	3	25.4	21.5	21.5	23.598	0	5.6366	72715000	6	AT1G02920.1;AT1G02930.2;AT1G02930.1	AT1G02920.1;AT1G02930.2;AT1G02930.1	"AT1G02920.1 | Symbols: ATGSTF7, GST11, ATGSTF8, GSTF7, ATGST11 | glutathione S-transferase 7 | chr1:658886-659705 REVERSE LENGTH=209;AT1G02930.2 | Symbols: GSTF6 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208;AT1G02930.1 | Symbols: A"
22.2218	21.5716	23.0649	NaN	21.7401	22.1335	22.3695	21.6047	22.0459	NaN	22.7983	21.2487	23.5372	23.0649	23.081	NaN	NaN	NaN	22.9172	22.9211	23.0249	NaN	23.0763	23.3494							4	4	4	20.1	20.1	20.1	22.306	0	11.703	217370000	39	AT1G03130.1;AT4G02770.1	AT1G03130.1;AT4G02770.1	AT1G03130.1 | Symbols: PSAD-2 | photosystem I subunit D-2 | chr1:753528-754142 REVERSE LENGTH=204;AT4G02770.1 | Symbols: PSAD-1 | photosystem I subunit D-1 | chr4:1229247-1229873 REVERSE LENGTH=208
NaN	NaN	NaN	21.9136	20.4544	20.4873	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.8438	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN							2	2	1	8.5	8.5	5.1	45.717	0	8.4703	20491000	3	AT1G03220.1	AT1G03220.1	AT1G03220.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:787143-788444 FORWARD LENGTH=433
NaN	21.9256	21.6858	NaN	NaN	NaN	NaN	22.9843	NaN	NaN	NaN	NaN	22.2079	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	24.2917	NaN							2	2	2	6.5	6.5	6.5	43.796	0.003006	3.2587	77314000	2	AT1G03475.1;AT4G03205.1;AT4G03205.2	AT1G03475.1;AT4G03205.1;AT4G03205.2	"AT1G03475.1 | Symbols: LIN2, HEMF1, ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386;AT4G03205.1 | Symbols: hemf2 | Coproporphyrinogen III oxidase | chr4:1412814-1413765 FORWARD LENGTH=233;AT4G03205.2 | Symbols: hemf2 | Copr"
NaN	21.6899	23.0806	NaN	NaN	22.1198	NaN	NaN	NaN	NaN	NaN	25.7706	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	23.3182	NaN							3	3	3	29.9	29.9	29.9	18.834	0	7.0161	101590000	10	AT1G03600.1	AT1G03600.1	AT1G03600.1 | Symbols: PSB27 | photosystem II family protein | chr1:898916-899440 FORWARD LENGTH=174
22.205	21.8312	21.4934	20.4134	22.332	21.7337	22.0999	21.5708	NaN	NaN	NaN	NaN	23.7617	23.4187	23.3788	NaN	NaN	NaN	22.7625	23.1544	22.6065	22.0876	22.9345	21.2679							3	2	2	9.8	7.8	7.8	43.625	0	5.7906	192890000	11	AT1G03630.2;AT1G03630.1	AT1G03630.2;AT1G03630.1	"AT1G03630.2 | Symbols: POR C, PORC | protochlorophyllide oxidoreductase C | chr1:907699-909245 FORWARD LENGTH=399;AT1G03630.1 | Symbols: POR C, PORC | protochlorophyllide oxidoreductase C | chr1:907699-909245 FORWARD LENGTH=401"
NaN	21.9455	22.0761	NaN	NaN	21.0777	NaN	NaN	NaN	NaN	NaN	NaN	22.948	NaN	NaN	NaN	NaN	NaN	22.3206	NaN	NaN	NaN	NaN	NaN							2	2	2	15.6	15.6	15.6	19.664	0	8.6498	40159000	9	AT1G03680.1	AT1G03680.1	"AT1G03680.1 | Symbols: ATHM1, TRX-M1, ATM1, THM1 | thioredoxin M-type 1 | chr1:916990-917865 REVERSE LENGTH=179"
22.2211	21.8792	22.4632	21.7848	NaN	21.3094	22.3395	23.2553	NaN	NaN	NaN	NaN	22.284	22.6051	21.558	NaN	NaN	NaN	23.0313	21.9258	23.0162	NaN	NaN	NaN							4	4	4	14.4	14.4	14.4	50.853	0	8.2331	127020000	18	AT1G04170.1	AT1G04170.1	AT1G04170.1 | Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465
NaN	NaN	21.5084	NaN	NaN	NaN	22.1483	22.4918	22.6756	NaN	NaN	21.8871	22.6518	22.4774	22.8244	NaN	NaN	NaN	22.5766	22.9844	23.1037	NaN	NaN	NaN							9	9	2	72.8	72.8	10.6	17.058	0	50.041	96971000	12	AT1G04270.2;AT1G04270.1;AT5G43640.1;AT5G09500.1;AT5G09490.1	AT1G04270.2;AT1G04270.1	AT1G04270.2 | Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=151;AT1G04270.1 | Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152
24.6389	25.5081	24.8661	24.9243	24.291	24.0821	24.9867	26.9011	25.8967	26.2685	24.7246	24.9111	25.6044	24.9983	25.6373	26.277	24.5175	24.6858	26.2703	24.6983	24.5419	25.321	24.3805	24.3731							14	14	14	52.1	52.1	52.1	35.571	0	188.08	2039600000	227	AT1G04410.1;AT5G43330.1;AT5G56720.1	AT1G04410.1	AT1G04410.1 | Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332
26.7795	26.9904	26.0063	23.6144	23.294	21.7126	27.3157	28.0541	27.7708	23.7597	24.1255	24.6522	27.3886	27.448	26.4871	NaN	NaN	24.371	27.4439	27.0014	26.9921	NaN	NaN	24.886							12	12	12	84.8	84.8	84.8	13.406	0	88.212	3983900000	165	AT3G04400.2;AT3G04400.1;AT2G33370.1;AT1G04480.1	AT3G04400.2;AT3G04400.1;AT2G33370.1;AT1G04480.1	AT3G04400.2 | Symbols: emb2171 | Ribosomal protein L14p/L23e family protein | chr3:1167611-1168308 FORWARD LENGTH=125;AT3G04400.1 | Symbols: emb2171 | Ribosomal protein L14p/L23e family protein | chr3:1167339-1168308 FORWARD LENGTH=140;AT2G33370.1 | Symbol
21.415	NaN	21.888	NaN	NaN	NaN	NaN	NaN	22.1497	NaN	NaN	NaN	NaN	22.1126	22.3146	NaN	NaN	NaN	NaN	NaN	22.0302	NaN	NaN	NaN							2	2	2	12.5	12.5	12.5	36.538	0	4.4795	30596000	3	AT1G04690.1	AT1G04690.1	"AT1G04690.1 | Symbols: KAB1, KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328"
23.4472	22.8559	22.6536	NaN	20.3267	21.8574	29.1204	28.5086	29.9261	30.6194	29.7973	29.7466	31.3987	31.2825	30.9871	30.5483	30.9346	31.0854	30.3779	30.1207	30.3689	30.2776	31.3214	30.1025				RPN2b	RP	RPN	69	29	29	64.3	32.5	32.5	108.86	0	323.31	57172000000	1362	AT1G04810.1	AT1G04810.1	"AT1G04810.1 | Symbols:  | 26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit | chr1:1350304-1355261 FORWARD LENGTH=1001"
23.767	23.2737	23.9608	20.9338	21.906	22.2369	25.146	25.1828	23.8861	24.0987	NaN	24.0958	24.7595	24.1114	24.0915	NaN	NaN	NaN	24.4835	23.6751	24.3418	NaN	NaN	23.5901							22	22	1	61.1	61.1	3.1	49.54	0	323.31	551850000	30	AT1G50010.1;AT1G04820.1	AT1G50010.1;AT1G04820.1	"AT1G50010.1 | Symbols: TUA2 | tubulin alpha-2 chain | chr1:18517737-18519729 FORWARD LENGTH=450;AT1G04820.1 | Symbols: TUA4, TOR2 | tubulin alpha-4 chain | chr1:1356421-1358266 REVERSE LENGTH=450"
24.199	24.7316	24.8835	NaN	20.8878	23.0339	24.8911	25.8802	24.1404	25.1555	NaN	NaN	25.0097	24.9866	24.7201	24.0169	24.2562	NaN	25.1399	24.9263	25.2571	NaN	24.2514	23.9407							10	10	10	47.1	47.1	47.1	24.705	0	48.577	957380000	83	AT1G05190.1	AT1G05190.1	AT1G05190.1 | Symbols: emb2394 | Ribosomal protein L6 family | chr1:1502515-1503738 REVERSE LENGTH=223
25.8699	25.9297	26.3828	22.8108	25.5436	24.9893	24.5838	25.5145	24.8227	24.6665	24.2721	24.0723	26.4735	24.8752	25.7679	26.1961	24.8845	23.9344	26.9698	24.6062	25.1933	25.478	24.6512	25.1455							9	9	9	53	53	53	23.759	0	153.17	2217600000	226	AT1G06680.2;AT1G06680.1;AT2G30790.1	AT1G06680.2;AT1G06680.1	"AT1G06680.2 | Symbols: PSBP-1, OEE2, PSII-P | photosystem II subunit P-1 | chr1:2048076-2049186 FORWARD LENGTH=219;AT1G06680.1 | Symbols: PSBP-1, OEE2, PSII-P, OE23 | photosystem II subunit P-1 | chr1:2047940-2049186 FORWARD LENGTH=263"
22.0227	22.6114	21.8396	NaN	22.2995	22.5262	22.9562	23.4761	22.7144	23.1699	NaN	22.5055	23.1575	23.1278	22.2964	21.8246	22.5262	NaN	23.1662	22.9143	22.8131	22.678	22.9103	23.1579							8	8	8	38.8	38.8	38.8	30.142	0	17.2	294690000	35	AT1G07320.4;AT1G07320.3;AT1G07320.2;AT1G07320.1	AT1G07320.4;AT1G07320.3;AT1G07320.2;AT1G07320.1	AT1G07320.4 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250173 FORWARD LENGTH=278;AT1G07320.3 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250026 FORWARD LENGTH=278;AT1G07320.2 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250
NaN	22.6114	NaN	21.6759	22.7253	23.6345	22.5311	22.4607	23.567	23.0818	22.854	NaN	22.3311	23.3499	23.1086	22.8804	23.0045	24.0336	22.6575	23.0218	22.9433	24.3684	24.7901	24.3794							8	8	8	58.3	58.3	58.3	11.409	0	20.328	421440000	36	AT5G59970.1;AT5G59690.1;AT3G53730.1;AT3G46320.1;AT3G45930.1;AT2G28740.1;AT1G07820.2;AT1G07820.1;AT1G07660.1;AT1G07660.2	AT5G59970.1;AT5G59690.1;AT3G53730.1;AT3G46320.1;AT3G45930.1;AT2G28740.1;AT1G07820.2;AT1G07820.1;AT1G07660.1;AT1G07660.2	AT5G59970.1 | Symbols:  | Histone superfamily protein | chr5:24146352-24146663 REVERSE LENGTH=103;AT5G59690.1 | Symbols:  | Histone superfamily protein | chr5:24051649-24051960 FORWARD LENGTH=103;AT3G53730.1 | Symbols:  | Histone superfamily protein | chr3
25.5564	25.3931	24.1015	NaN	23.254	24.0874	26.1871	26.9903	26.3611	23.8962	NaN	23.7284	26.6262	26.1007	25.6905	24.0542	23.4623	24.045	26.2029	25.73	26.2111	24.9618	NaN	24.6423							8	8	3	53.1	53.1	23.8	14.804	0	74.557	2052800000	84	AT5G59850.1;AT1G07770.2;AT1G07770.1;AT2G39590.1	AT5G59850.1;AT1G07770.2;AT1G07770.1	AT5G59850.1 | Symbols:  | Ribosomal protein S8 family protein | chr5:24112499-24113084 REVERSE LENGTH=130;AT1G07770.2 | Symbols: RPS15A | ribosomal protein S15A | chr1:2408413-2409065 REVERSE LENGTH=130;AT1G07770.1 | Symbols: RPS15A | ribosomal protein S15
NaN	22.5083	22.3905	NaN	23.8526	24.8525	NaN	NaN	NaN	NaN	23.0734	23.1158	NaN	NaN	NaN	23.3831	NaN	NaN	NaN	NaN	NaN	23.8645	25.9453	25.0599							3	3	3	24.1	24.1	24.1	15.732	0	5.4693	245790000	8	AT5G22880.1;AT3G46030.1;AT1G07790.1;AT5G59910.1;AT3G45980.1;AT2G28720.1;AT5G02570.1;AT2G37470.1;AT3G09480.1;AT3G53650.1	AT5G22880.1;AT3G46030.1;AT1G07790.1;AT5G59910.1;AT3G45980.1;AT2G28720.1;AT5G02570.1;AT2G37470.1	"AT5G22880.1 | Symbols: H2B, HTB2 | histone B2 | chr5:7652130-7652567 REVERSE LENGTH=145;AT3G46030.1 | Symbols: HTB11 | Histone superfamily protein | chr3:16913614-16914051 REVERSE LENGTH=145;AT1G07790.1 | Symbols: HTB1 | Histone superfamily protein | chr1:"
25.4189	25.286	25.896	24.3029	24.4552	24.2101	25.6242	26.896	26.4101	26.5959	25.8828	25.7432	25.8847	24.8491	25.745	26.2425	25.3847	24.9283	26.3083	24.1831	24.8003	25.1896	NaN	25.0163							10	10	10	56.2	56.2	56.2	27.52	0	72.34	2420400000	213	AT1G07890.6;AT1G07890.8;AT1G07890.7;AT1G07890.5;AT1G07890.4;AT1G07890.3;AT1G07890.2;AT1G07890.1	AT1G07890.6;AT1G07890.8;AT1G07890.7;AT1G07890.5;AT1G07890.4;AT1G07890.3;AT1G07890.2;AT1G07890.1	"AT1G07890.6 | Symbols: APX1, MEE6, CS1, ATAPX1, ATAPX01 | ascorbate peroxidase 1 | chr1:2438005-2439349 FORWARD LENGTH=249;AT1G07890.8 | Symbols: APX1, MEE6, CS1, ATAPX1, ATAPX01 | ascorbate peroxidase 1 | chr1:2438005-2439435 FORWARD LENGTH=250;AT1G07890."
29.4834	29.3218	30.3853	27.7172	27.3692	28.2222	30.0234	30.807	30.9573	28.7515	28.9462	28.7332	30.2874	30.1207	30.4018	27.9088	27.7518	27.98	30.1127	29.8972	30.3593	28.1902	27.5456	28.3249							28	28	28	62.6	62.6	62.6	49.502	0	323.31	40352000000	1391	AT5G60390.3;AT5G60390.1;AT1G07940.2;AT1G07940.1;AT1G07930.1;AT1G07920.1;AT5G60390.2;AT1G07930.2;AT1G35550.1	AT5G60390.3;AT5G60390.1;AT1G07940.2;AT1G07940.1;AT1G07930.1;AT1G07920.1;AT5G60390.2;AT1G07930.2	AT5G60390.3 | Symbols:  | GTP binding Elongation factor Tu family protein | chr5:24289226-24290675 FORWARD LENGTH=449;AT5G60390.1 | Symbols:  | GTP binding Elongation factor Tu family protein | chr5:24289226-24290675 FORWARD LENGTH=449;AT1G07940.2 | Symbol
23.2607	23.3811	22.7276	21.4824	21.6909	22.9771	24.1837	24.1241	24.3359	22.8671	22.6765	23.7515	23.744	23.2109	22.5875	22.8013	21.571	23.3141	23.742	23.6387	23.2929	23.9983	NaN	23.2666							10	4	4	32.4	12	12	24.469	0	10.05	464590000	44	AT1G08360.1	AT1G08360.1	AT1G08360.1 | Symbols:  | Ribosomal protein L1p/L10e family | chr1:2636231-2637694 FORWARD LENGTH=216
NaN	22.0666	22.3891	NaN	20.8819	20.1814	NaN	22.5297	NaN	NaN	21.9313	22.4325	23.5309	23.7325	22.9844	22.4331	22.0931	NaN	23.4712	22.4597	23.412	22.4082	23.4137	NaN							11	11	11	21.7	21.7	21.7	83.283	0	29.991	220990000	35	AT1G08520.1	AT1G08520.1	"AT1G08520.1 | Symbols: ALB1, ALB-1V, V157, PDE166, CHLD | ALBINA 1 | chr1:2696538-2700819 FORWARD LENGTH=760"
NaN	23.2181	NaN	NaN	22.2437	21.4157	NaN	23.0331	NaN	25.3016	NaN	NaN	NaN	NaN	NaN	22.7897	NaN	NaN	22.7673	NaN	NaN	NaN	NaN	NaN							2	2	2	25	25	25	15.098	0	18.645	149040000	10	AT1G08830.2;AT1G08830.1	AT1G08830.2;AT1G08830.1	AT1G08830.2 | Symbols: CSD1 | copper/zinc superoxide dismutase 1 | chr1:2827700-2829053 FORWARD LENGTH=152;AT1G08830.1 | Symbols: CSD1 | copper/zinc superoxide dismutase 1 | chr1:2827700-2829053 FORWARD LENGTH=152
22.9751	23.4475	21.1887	21.6823	22.7392	24.1481	26.9208	26.5668	27.8936	28.4092	28.0209	27.6777	30.1604	29.926	30.0659	29.6876	30.2635	30.6653	29.645	29.1128	29.3975	29.4883	30.726	29.6237				RPT5b	RP	RPT	49	19	19	84.6	45.9	45.9	47.037	0	323.31	28405000000	931	AT1G09100.1	AT1G09100.1	AT1G09100.1 | Symbols: RPT5B | 26S proteasome AAA-ATPase subunit RPT5B | chr1:2936675-2939258 REVERSE LENGTH=423
NaN	NaN	21.4211	NaN	NaN	NaN	NaN	21.6949	NaN	NaN	NaN	21.3702	NaN	NaN	21.8396	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN							1	1	1	5.5	5.5	5.5	36.307	0.0066414	2.7997	15688000	1	AT1G09130.2;AT1G09130.1;AT1G09130.3	AT1G09130.2;AT1G09130.1;AT1G09130.3	AT1G09130.2 | Symbols:  | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | chr1:2940063-2942217 REVERSE LENGTH=330;AT1G09130.1 | Symbols:  | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | chr1:2940063-2942217 REVER
NaN	NaN	22.147	21.807	NaN	23.1031	22.6356	22.4778	NaN	23.4686	23.9392	23.9923	22.7681	22.8354	22.98	23.6241	23.7635	24.5	23.049	23.9768	22.9398	24.1887	24.6199	24.756							2	2	2	13.2	13.2	13.2	15.268	0	4.1823	440760000	8	AT5G65360.1;AT5G10980.1;AT5G10400.1;AT5G10390.1;AT4G40040.2;AT4G40040.1;AT4G40030.3;AT4G40030.1;AT3G27360.1;AT1G09200.1;AT4G40030.2;AT1G75600.1;AT1G13370.1;AT5G65350.1	AT5G65360.1;AT5G10980.1;AT5G10400.1;AT5G10390.1;AT4G40040.2;AT4G40040.1;AT4G40030.3;AT4G40030.1;AT3G27360.1;AT1G09200.1;AT4G40030.2;AT1G75600.1;AT1G13370.1;AT5G65350.1	AT5G65360.1 | Symbols:  | Histone superfamily protein | chr5:26120099-26120509 REVERSE LENGTH=136;AT5G10980.1 | Symbols:  | Histone superfamily protein | chr5:3472591-3473349 REVERSE LENGTH=136;AT5G10400.1 | Symbols:  | Histone superfamily protein | chr5:3
