Significant	-Log(P-value)	Difference	Protein IDs	Majority protein IDs	Fasta headers	Symbol color	Symbol type	Symbol size	Show label	Only identified by site	Reverse	Potential contaminant	ProteasomeAnnotation	SubComplexAnnotation	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS Count	LFQ intensity Col0_Minus_BR1	LFQ intensity Col0_Minus_BR2	LFQ intensity Col0_Minus_BR3	LFQ intensity Col0_Plus_BR1	LFQ intensity Col0_Plus_BR2	LFQ intensity Col0_Plus_BR3	LFQ intensity PAG1_Minus_BR1	LFQ intensity PAG1_Minus_BR2	LFQ intensity PAG1_Minus_BR3	LFQ intensity PAG1_Plus_BR1	LFQ intensity PAG1_Plus_BR2	LFQ intensity PAG1_Plus_BR3	LFQ intensity RPT4a_Minus_BR1	LFQ intensity RPT4a_Minus_BR2	LFQ intensity RPT4a_Minus_BR3	LFQ intensity RPT4a_Plus_BR1	LFQ intensity RPT4a_Plus_BR2	LFQ intensity RPT4a_Plus_BR3	LFQ intensity RPT4b_Minus_BR1	LFQ intensity RPT4b_Minus_BR2	LFQ intensity RPT4b_Minus_BR3	LFQ intensity RPT4b_Plus_BR1	LFQ intensity RPT4b_Plus_BR2	LFQ intensity RPT4b_Plus_BR3
	0.150718693927131	-0.182633082071938	AT1G02560.1	AT1G02560.1	AT1G02560.1 | Symbols: CLPP5, NCLPP5, NCLPP1 | nuclear encoded CLP protease 5 | chr1:538000-539805 FORWARD LENGTH=298	Color [DarkGray]	1	4							6	6	6	22.5	22.5	22.5	32.356	0	15.958	227590000	20	22.13	22.19732	23.49415	19.61683	22.00796	22.6522	22.28303	22.41528	22.57526	21.23658	19.88698	19.44952	23.25571	22.9597	23.23014	20.82141	18.84449	19.53284	23.78774	22.34802	23.62496	19.36414	19.22148	22.77256
	2.20119148199488	1.01948165893555	AT1G02780.1;AT4G02230.1	AT1G02780.1;AT4G02230.1	AT1G02780.1 | Symbols: emb2386 | Ribosomal protein L19e family protein | chr1:608120-609391 REVERSE LENGTH=214;AT4G02230.1 | Symbols:  | Ribosomal protein L19e family protein | chr4:979391-980640 REVERSE LENGTH=208	Color [DarkGray]	1	4							12	12	10	43.9	43.9	35.5	24.606	0	128.68	5232500000	327	26.42699	26.83222	26.26958	24.13091	24.58585	26.12259	27.33306	27.6276	27.62659	26.6392	25.42913	26.80422	27.06788	27.20242	26.81955	26.22864	25.01218	27.03765	27.19481	26.85088	27.18486	26.76244	25.44588	26.80246
	2.23878952764938	3.21006139119466	AT1G02890.1;AT4G02480.1;AT1G02890.2;AT1G62130.1;AT4G24860.1	AT1G02890.1;AT4G02480.1;AT1G02890.2	AT1G02890.1 | Symbols:  | AAA-type ATPase family protein | chr1:645372-651797 REVERSE LENGTH=1246;AT4G02480.1 | Symbols:  | AAA-type ATPase family protein | chr4:1082082-1088680 REVERSE LENGTH=1265;AT1G02890.2 | Symbols:  | AAA-type ATPase family protein |	Color [DarkGray]	1	4							3	3	3	4.4	4.4	4.4	135.99	0	35.95	103770000	9	19.66188	20.23783	20.34939	19.17702	19.64172	19.01237	23.56842	24.09097	22.2199	21.70244	20.79617	21.01393	21.28997	21.35751	21.27878	21.38005	20.17524	21.53957	21.17316	19.42412	18.91221	20.76077	19.60365	21.74181
	0.453597947153865	0.91584587097168	AT1G02920.1;AT1G02930.2;AT1G02930.1	AT1G02920.1;AT1G02930.2;AT1G02930.1	AT1G02920.1 | Symbols: ATGSTF7, GST11, ATGSTF8, GSTF7, ATGST11 | glutathione S-transferase 7 | chr1:658886-659705 REVERSE LENGTH=209;AT1G02930.2 | Symbols: GSTF6 | glutathione S-transferase 6 | chr1:661363-662191 REVERSE LENGTH=208;AT1G02930.1 | Symbols: A	Color [DarkGray]	1	4							4	3	3	25.4	21.5	21.5	23.598	0	5.6366	72715000	6	19.53431	20.99259	19.56271	20.03206	21.05931	20.6759	21.60301	19.49835	21.73579	22.30855	20.62836	20.78441	22.46339	21.31009	21.66637	23.586	20.68337	22.37366	23.11644	20.67711	20.68577	21.87748	20.59734	21.21454
	0.224787588892204	-0.279428482055664	AT1G03130.1;AT4G02770.1	AT1G03130.1;AT4G02770.1	AT1G03130.1 | Symbols: PSAD-2 | photosystem I subunit D-2 | chr1:753528-754142 REVERSE LENGTH=204;AT4G02770.1 | Symbols: PSAD-1 | photosystem I subunit D-1 | chr4:1229247-1229873 REVERSE LENGTH=208	Color [DarkGray]	1	4							4	4	4	20.1	20.1	20.1	22.306	0	11.703	217370000	39	22.22182	21.57162	23.06489	19.23104	21.74008	22.13347	22.36946	21.60467	22.0459	19.95839	22.79826	21.2487	23.53722	23.0649	23.08097	19.574	19.2337	21.01308	22.91717	22.92113	23.02491	20.67435	23.07629	23.34945
	0.399779488629694	0.780932108561199	AT1G03220.1	AT1G03220.1	AT1G03220.1 | Symbols:  | Eukaryotic aspartyl protease family protein | chr1:787143-788444 FORWARD LENGTH=433	Color [DarkGray]	1	4							2	2	1	8.5	8.5	5.1	45.717	0	8.4703	20491000	3	21.20701	19.33696	19.43529	21.91356	20.45435	20.48729	20.13923	21.89157	20.29127	20.28811	19.38285	19.53387	21.35965	19.96837	20.13383	22.84378	20.24569	19.62637	19.21122	19.50329	21.1474	19.44693	20.41393	19.97612
	0.191338789225887	-0.640539805094402	AT1G03475.1;AT4G03205.1;AT4G03205.2	AT1G03475.1;AT4G03205.1;AT4G03205.2	AT1G03475.1 | Symbols: LIN2, HEMF1, ATCPO-I | Coproporphyrinogen III oxidase | chr1:869302-871175 REVERSE LENGTH=386;AT4G03205.1 | Symbols: hemf2 | Coproporphyrinogen III oxidase | chr4:1412814-1413765 FORWARD LENGTH=233;AT4G03205.2 | Symbols: hemf2 | Copr	Color [DarkGray]	1	4							2	2	2	6.5	6.5	6.5	43.796	0.003006	3.2587	77314000	2	20.24666	21.92564	21.68577	19.43767	19.18089	19.72081	19.39514	22.98433	19.55698	21.14542	19.98879	19.85645	22.20789	19.28633	19.05975	19.89577	20.05891	19.98408	21.36291	19.80609	19.86411	19.76355	24.29165	19.31725
	0.304723639367432	-0.728361765543621	AT1G03600.1	AT1G03600.1	AT1G03600.1 | Symbols: PSB27 | photosystem II family protein | chr1:898916-899440 FORWARD LENGTH=174	Color [DarkGray]	1	4							3	3	3	29.9	29.9	29.9	18.834	0	7.0161	101590000	10	19.75848	21.68985	23.08057	19.97493	20.0768	22.1198	20.84173	20.51754	20.98454	20.98718	18.85788	25.77057	20.03063	20.6123	18.88577	20.73244	18.67257	20.91418	20.12756	20.59339	19.21177	20.5868	23.31824	20.59818
	0.404258838499461	-0.737272898356121	AT1G03630.2;AT1G03630.1	AT1G03630.2;AT1G03630.1	AT1G03630.2 | Symbols: POR C, PORC | protochlorophyllide oxidoreductase C | chr1:907699-909245 FORWARD LENGTH=399;AT1G03630.1 | Symbols: POR C, PORC | protochlorophyllide oxidoreductase C | chr1:907699-909245 FORWARD LENGTH=401	Color [DarkGray]	1	4							3	2	2	9.8	7.8	7.8	43.625	0	5.7906	192890000	11	22.20504	21.83125	21.49339	20.41338	22.33199	21.73365	22.09992	21.57076	19.64718	19.81275	20.38085	20.69521	23.76173	23.4187	23.37881	20.57802	19.34703	20.74251	22.76254	23.15443	22.60653	22.08759	22.93455	21.26785
	1.76716766202234	-1.81047821044922	AT1G03680.1	AT1G03680.1	AT1G03680.1 | Symbols: ATHM1, TRX-M1, ATM1, THM1 | thioredoxin M-type 1 | chr1:916990-917865 REVERSE LENGTH=179	Color [DarkGray]	1	4							2	2	2	15.6	15.6	15.6	19.664	0	8.6498	40159000	9	20.70756	21.94552	22.07614	19.87576	19.2375	21.07767	19.48655	19.81908	19.99216	20.38412	19.2241	20.5404	22.94803	19.37011	21.16688	19.43186	18.08825	19.46836	22.32059	20.44808	20.48	20.43486	19.05267	19.39819
	0.00342230597752977	-0.018402099609375	AT1G03880.1	AT1G03880.1	AT1G03880.1 | Symbols: CRU2, CRB | cruciferin 2 | chr1:985786-987916 FORWARD LENGTH=455	Color [DarkGray]	1	4							10	10	10	37.4	37.4	37.4	50.558	0	75.359	346270000	40	22.79557	21.05619	22.25292	19.13978	19.454	21.70362	19.83613	25.3242	20.88915	24.0891	24.89615	19.39138	19.35504	19.69054	19.85723	19.98947	19.78341	20.08824	24.64405	23.88193	24.40732	23.58481	23.64691	23.64693
	0.0364592653179844	-0.0817114512125627	AT1G04170.1	AT1G04170.1	AT1G04170.1 | Symbols: EIF2 GAMMA | eukaryotic translation initiation factor 2 gamma subunit | chr1:1097423-1099702 FORWARD LENGTH=465	Color [DarkGray]	1	4							4	4	4	14.4	14.4	14.4	50.853	0	8.2331	127020000	18	22.22111	21.87924	22.4632	21.78485	20.01694	21.30944	22.33952	23.2553	20.72359	19.31775	20.37903	19.95038	22.28401	22.60506	21.55796	18.94877	18.49588	18.93133	23.03132	21.92578	23.01621	19.30708	19.71493	19.70774
	1.64127184027819	1.97323862711588	AT1G04270.2;AT1G04270.1;AT5G43640.1;AT5G09500.1;AT5G09490.1	AT1G04270.2;AT1G04270.1	AT1G04270.2 | Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=151;AT1G04270.1 | Symbols: RPS15 | cytosolic ribosomal protein S15 | chr1:1141852-1142960 REVERSE LENGTH=152	Color [DarkGray]	1	4							9	9	2	72.8	72.8	10.6	17.058	0	50.041	96971000	12	19.81845	20.06913	21.50842	19.49784	19.91304	19.23531	22.14829	22.49183	22.67559	20.75379	19.62111	21.88709	22.65182	22.47736	22.82439	20.35025	19.78138	20.4893	22.57662	22.9844	23.10366	19.85574	18.47892	20.51259
	0.687958253824992	0.923796971638996	AT1G04410.1;AT5G43330.1;AT5G56720.1	AT1G04410.1	AT1G04410.1 | Symbols:  | Lactate/malate dehydrogenase family protein | chr1:1189418-1191267 REVERSE LENGTH=332	Color [DarkGray]	1	4							14	14	14	52.1	52.1	52.1	35.571	0	188.08	2039600000	227	24.63891	25.50814	24.8661	24.92435	24.29099	24.08211	24.98666	26.90113	25.89675	26.26854	24.72455	24.91105	25.6044	24.99828	25.63732	26.27702	24.51749	24.68581	26.27026	24.69834	24.54189	25.32101	24.3805	24.37311
	1.41729472678606	1.12146886189779	AT3G04400.2;AT3G04400.1;AT2G33370.1;AT1G04480.1	AT3G04400.2;AT3G04400.1;AT2G33370.1;AT1G04480.1	AT3G04400.2 | Symbols: emb2171 | Ribosomal protein L14p/L23e family protein | chr3:1167611-1168308 FORWARD LENGTH=125;AT3G04400.1 | Symbols: emb2171 | Ribosomal protein L14p/L23e family protein | chr3:1167339-1168308 FORWARD LENGTH=140;AT2G33370.1 | Symbol	Color [DarkGray]	1	4							12	12	12	84.8	84.8	84.8	13.406	0	88.212	3983900000	165	26.77947	26.99038	26.00632	23.61437	23.29404	21.71264	27.31565	28.05413	27.77079	23.75969	24.1255	24.65218	27.38858	27.44804	26.48712	19.28578	18.93778	24.37099	27.44385	27.00136	26.99213	18.83173	20.14342	24.88595
	0.186284524200304	0.400445938110352	AT1G04690.1	AT1G04690.1	AT1G04690.1 | Symbols: KAB1, KV-BETA1 | potassium channel beta subunit 1 | chr1:1313662-1315420 FORWARD LENGTH=328	Color [DarkGray]	1	4							2	2	2	12.5	12.5	12.5	36.538	0	4.4795	30596000	3	21.41504	19.56737	21.88803	18.82957	19.14186	20.17919	20.74507	21.17697	22.14973	19.66307	18.44719	18.90708	20.66846	22.11258	22.31458	20.34857	17.63112	19.30597	19.49959	19.36954	22.03022	20.21074	18.87918	20.36404
+	3.7029315963929	6.19946543375651	AT1G04810.1	AT1G04810.1	AT1G04810.1 | Symbols:  | 26S proteasome regulatory complex, non-ATPase subcomplex, Rpn2/Psmd1 subunit | chr1:1350304-1355261 FORWARD LENGTH=1001	Color [DarkGray]	1	4					RPN2b	RP	69	29	29	64.3	32.5	32.5	108.86	0	323.31	57172000000	1362	23.4472	22.85594	22.65357	19.72951	20.32674	21.85741	29.12041	28.50856	29.92614	30.61941	29.79734	29.74656	31.39873	31.28252	30.98709	30.54828	30.93463	31.08545	30.37788	30.12074	30.36886	30.27757	31.3214	30.10254
	1.06485043410244	1.07114346822103	AT1G50010.1;AT1G04820.1	AT1G50010.1;AT1G04820.1	AT1G50010.1 | Symbols: TUA2 | tubulin alpha-2 chain | chr1:18517737-18519729 FORWARD LENGTH=450;AT1G04820.1 | Symbols: TUA4, TOR2 | tubulin alpha-4 chain | chr1:1356421-1358266 REVERSE LENGTH=450	Color [DarkGray]	1	4							22	22	1	61.1	61.1	3.1	49.54	0	323.31	551850000	30	23.76695	23.27367	23.96082	20.93384	21.90602	22.23695	25.14597	25.18277	23.88614	24.09869	20.4037	24.09579	24.75953	24.11138	24.09149	19.65112	19.80885	20.48744	24.4835	23.67511	24.34179	19.16334	20.14143	23.59012
	0.268682758360283	0.365895589192711	AT1G05190.1	AT1G05190.1	AT1G05190.1 | Symbols: emb2394 | Ribosomal protein L6 family | chr1:1502515-1503738 REVERSE LENGTH=223	Color [DarkGray]	1	4							10	10	10	47.1	47.1	47.1	24.705	0	48.577	957380000	83	24.19898	24.73157	24.88352	19.04597	20.88785	23.03391	24.89115	25.88016	24.14045	25.15545	20.42674	20.31206	25.00966	24.98664	24.72012	24.01691	24.25623	19.71211	25.13992	24.92631	25.25706	20.20909	24.2514	23.94068
	1.55192839029202	-1.08713404337565	AT1G06680.2;AT1G06680.1;AT2G30790.1	AT1G06680.2;AT1G06680.1	AT1G06680.2 | Symbols: PSBP-1, OEE2, PSII-P | photosystem II subunit P-1 | chr1:2048076-2049186 FORWARD LENGTH=219;AT1G06680.1 | Symbols: PSBP-1, OEE2, PSII-P, OE23 | photosystem II subunit P-1 | chr1:2047940-2049186 FORWARD LENGTH=263	Color [DarkGray]	1	4							9	9	9	53	53	53	23.759	0	153.17	2217600000	226	25.8699	25.92966	26.38279	22.81078	25.54356	24.98932	24.58378	25.51448	24.82268	24.66649	24.27206	24.07233	26.47346	24.87522	25.76795	26.19608	24.88447	23.93443	26.96982	24.60618	25.19329	25.47802	24.6512	25.14549
	1.29076734380135	0.891000111897789	AT1G07320.4;AT1G07320.3;AT1G07320.2;AT1G07320.1	AT1G07320.4;AT1G07320.3;AT1G07320.2;AT1G07320.1	AT1G07320.4 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250173 FORWARD LENGTH=278;AT1G07320.3 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250026 FORWARD LENGTH=278;AT1G07320.2 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250	Color [DarkGray]	1	4							8	8	8	38.8	38.8	38.8	30.142	0	17.2	294690000	35	22.02272	22.61142	21.83959	19.72843	22.29953	22.52617	22.95619	23.47614	22.7144	23.16994	18.27057	22.50546	23.15749	23.12779	22.29636	21.82458	22.52618	18.5112	23.16622	22.91426	22.81308	22.67801	22.91032	23.15792
	0.90330433542956	1.59783744812012	AT5G59970.1;AT5G59690.1;AT3G53730.1;AT3G46320.1;AT3G45930.1;AT2G28740.1;AT1G07820.2;AT1G07820.1;AT1G07660.1;AT1G07660.2	AT5G59970.1;AT5G59690.1;AT3G53730.1;AT3G46320.1;AT3G45930.1;AT2G28740.1;AT1G07820.2;AT1G07820.1;AT1G07660.1;AT1G07660.2	AT5G59970.1 | Symbols:  | Histone superfamily protein | chr5:24146352-24146663 REVERSE LENGTH=103;AT5G59690.1 | Symbols:  | Histone superfamily protein | chr5:24051649-24051960 FORWARD LENGTH=103;AT3G53730.1 | Symbols:  | Histone superfamily protein | chr3	Color [DarkGray]	1	4							8	8	8	58.3	58.3	58.3	11.409	0	20.328	421440000	36	20.0478	22.6114	21.10602	21.67586	22.72529	23.6345	22.53108	22.46069	23.56697	23.08177	22.85396	19.24493	22.33113	23.34987	23.10856	22.88037	23.00446	24.03359	22.65749	23.02176	22.94331	24.36838	24.79008	24.37938
	1.34319975872286	1.49584515889486	AT5G59850.1;AT1G07770.2;AT1G07770.1;AT2G39590.1	AT5G59850.1;AT1G07770.2;AT1G07770.1	AT5G59850.1 | Symbols:  | Ribosomal protein S8 family protein | chr5:24112499-24113084 REVERSE LENGTH=130;AT1G07770.2 | Symbols: RPS15A | ribosomal protein S15A | chr1:2408413-2409065 REVERSE LENGTH=130;AT1G07770.1 | Symbols: RPS15A | ribosomal protein S15	Color [DarkGray]	1	4							8	8	3	53.1	53.1	23.8	14.804	0	74.557	2052800000	84	25.5564	25.3931	24.10154	19.28057	23.25401	24.08736	26.18715	26.99031	26.36112	23.89615	18.67751	23.72839	26.62621	26.10069	25.69048	24.05416	23.46231	24.04502	26.20288	25.73001	26.21106	24.96179	19.31308	24.64226
	1.27903895142735	-1.85531616210938	AT5G22880.1;AT3G46030.1;AT1G07790.1;AT5G59910.1;AT3G45980.1;AT2G28720.1;AT5G02570.1;AT2G37470.1;AT3G09480.1;AT3G53650.1	AT5G22880.1;AT3G46030.1;AT1G07790.1;AT5G59910.1;AT3G45980.1;AT2G28720.1;AT5G02570.1;AT2G37470.1	AT5G22880.1 | Symbols: H2B, HTB2 | histone B2 | chr5:7652130-7652567 REVERSE LENGTH=145;AT3G46030.1 | Symbols: HTB11 | Histone superfamily protein | chr3:16913614-16914051 REVERSE LENGTH=145;AT1G07790.1 | Symbols: HTB1 | Histone superfamily protein | chr1:	Color [DarkGray]	1	4							3	3	3	24.1	24.1	24.1	15.732	0	5.4693	245790000	8	20.64414	22.50826	22.39054	18.58689	23.85262	24.85255	20.57731	19.90488	19.4948	20.75208	23.07343	23.11576	19.43803	20.5237	19.19148	23.38311	19.83449	20.51268	20.72044	19.89425	19.2919	23.86448	25.9453	25.05986
	0.872394948432669	0.776443481445313	AT1G07890.6;AT1G07890.8;AT1G07890.7;AT1G07890.5;AT1G07890.4;AT1G07890.3;AT1G07890.2;AT1G07890.1	AT1G07890.6;AT1G07890.8;AT1G07890.7;AT1G07890.5;AT1G07890.4;AT1G07890.3;AT1G07890.2;AT1G07890.1	AT1G07890.6 | Symbols: APX1, MEE6, CS1, ATAPX1, ATAPX01 | ascorbate peroxidase 1 | chr1:2438005-2439349 FORWARD LENGTH=249;AT1G07890.8 | Symbols: APX1, MEE6, CS1, ATAPX1, ATAPX01 | ascorbate peroxidase 1 | chr1:2438005-2439435 FORWARD LENGTH=250;AT1G07890.	Color [DarkGray]	1	4							10	10	10	56.2	56.2	56.2	27.52	0	72.34	2420400000	213	25.41886	25.28605	25.89604	24.30293	24.45521	24.21009	25.62417	26.89601	26.4101	26.59595	25.88282	25.74321	25.88475	24.84913	25.74496	26.24247	25.38471	24.92831	26.30828	24.18311	24.80033	25.1896	18.03006	25.01631
	0.919761260147584	0.86572583516439	AT5G60390.3;AT5G60390.1;AT1G07940.2;AT1G07940.1;AT1G07930.1;AT1G07920.1;AT5G60390.2;AT1G07930.2;AT1G35550.1	AT5G60390.3;AT5G60390.1;AT1G07940.2;AT1G07940.1;AT1G07930.1;AT1G07920.1;AT5G60390.2;AT1G07930.2	AT5G60390.3 | Symbols:  | GTP binding Elongation factor Tu family protein | chr5:24289226-24290675 FORWARD LENGTH=449;AT5G60390.1 | Symbols:  | GTP binding Elongation factor Tu family protein | chr5:24289226-24290675 FORWARD LENGTH=449;AT1G07940.2 | Symbol	Color [DarkGray]	1	4							28	28	28	62.6	62.6	62.6	49.502	0	323.31	40352000000	1391	29.4834	29.32178	30.38528	27.71725	27.36919	28.22216	30.02338	30.80701	30.95726	28.7515	28.94624	28.73318	30.28742	30.12074	30.40183	27.90884	27.7518	27.97998	30.11274	29.89718	30.3593	28.19023	27.54559	28.32493
	2.18168446928189	1.09141604105632	AT1G08360.1	AT1G08360.1	AT1G08360.1 | Symbols:  | Ribosomal protein L1p/L10e family | chr1:2636231-2637694 FORWARD LENGTH=216	Color [DarkGray]	1	4							10	4	4	32.4	12	12	24.469	0	10.05	464590000	44	23.26072	23.38113	22.7276	21.48243	21.69085	22.97707	24.18366	24.12413	24.33591	22.86712	22.67655	23.7515	23.74397	23.21091	22.58747	22.8013	21.57099	23.31409	23.74202	23.63869	23.29293	23.99826	20.16839	23.26659
