LFQ intensity Col0_Minus	LFQ intensity Col0_Plus	LFQ intensity PAG1_Minus	LFQ intensity PAG1_Plus	LFQ intensity RPT4a_Minus	LFQ intensity RPT4a_Plus	LFQ intensity RPT4b_Minus	LFQ intensity RPT4b_Plus	C: Only identified by site	C: Reverse	C: Potential contaminant	C: ProteasomeAnnotation	C: SubComplexAnnotation	C: GraphGroup	N: Peptides	N: Razor + unique peptides	N: Unique peptides	N: Sequence coverage [%]	N: Unique + razor sequence coverage [%]	N: Unique sequence coverage [%]	N: Mol. weight [kDa]	N: Q-value	N: Score	N: Intensity	N: MS/MS Count	N: stddev LFQ intensity Col0_Minus	N: stddev LFQ intensity Col0_Plus	N: stddev LFQ intensity PAG1_Minus	N: stddev LFQ intensity PAG1_Plus	N: stddev LFQ intensity RPT4a_Minus	N: stddev LFQ intensity RPT4a_Plus	N: stddev LFQ intensity RPT4b_Minus	N: stddev LFQ intensity RPT4b_Plus	T: Protein IDs	T: Majority protein IDs	T: Fasta headers
22.1579	21.518	23.0489	21.3153	22.8605	20.954	22.9645	22.9154							8	8	8	38.8	38.8	38.8	30.142	0	17.2	294690000	35	0.403285	1.55399	0.389247	2.65769	0.488826	2.1444	0.181856	0.239995	AT1G07320.4;AT1G07320.3;AT1G07320.2;AT1G07320.1	AT1G07320.4;AT1G07320.3;AT1G07320.2;AT1G07320.1	AT1G07320.4 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250173 FORWARD LENGTH=278;AT1G07320.3 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250026 FORWARD LENGTH=278;AT1G07320.2 | Symbols: RPL4 | ribosomal protein L4 | chr1:2249190-2250
21.2551	22.6786	22.8529	21.7269	22.9299	23.3061	22.8742	24.5126							8	8	8	58.3	58.3	58.3	11.409	0	20.328	421440000	36	1.28828	0.980157	0.619395	2.15245	0.532361	0.633037	0.191719	0.240354	AT5G59970.1;AT5G59690.1;AT3G53730.1;AT3G46320.1;AT3G45930.1;AT2G28740.1;AT1G07820.2;AT1G07820.1;AT1G07660.1;AT1G07660.2	AT5G59970.1;AT5G59690.1;AT3G53730.1;AT3G46320.1;AT3G45930.1;AT2G28740.1;AT1G07820.2;AT1G07820.1;AT1G07660.1;AT1G07660.2	AT5G59970.1 | Symbols:  | Histone superfamily protein | chr5:24146352-24146663 REVERSE LENGTH=103;AT5G59690.1 | Symbols:  | Histone superfamily protein | chr5:24051649-24051960 FORWARD LENGTH=103;AT3G53730.1 | Symbols:  | Histone superfamily protein | chr3
25.017	22.2073	26.5129	22.1007	26.1391	23.8538	26.048	22.9724							8	8	3	53.1	53.1	23.8	14.804	0	74.557	2052800000	84	0.797015	2.56866	0.422534	2.96574	0.469049	0.339094	0.275402	3.17307	AT5G59850.1;AT1G07770.2;AT1G07770.1;AT2G39590.1	AT5G59850.1;AT1G07770.2;AT1G07770.1	AT5G59850.1 | Symbols:  | Ribosomal protein S8 family protein | chr5:24112499-24113084 REVERSE LENGTH=130;AT1G07770.2 | Symbols: RPS15A | ribosomal protein S15A | chr1:2408413-2409065 REVERSE LENGTH=130;AT1G07770.1 | Symbols: RPS15A | ribosomal protein S15
21.8476	22.4307	19.9923	22.3138	19.7177	21.2434	19.9689	24.9565							3	3	3	24.1	24.1	24.1	15.732	0	5.4693	245790000	8	1.04393	3.36616	0.546527	1.35262	0.708786	1.88379	0.717184	1.04425	AT5G22880.1;AT3G46030.1;AT1G07790.1;AT5G59910.1;AT3G45980.1;AT2G28720.1;AT5G02570.1;AT2G37470.1;AT3G09480.1;AT3G53650.1	AT5G22880.1;AT3G46030.1;AT1G07790.1;AT5G59910.1;AT3G45980.1;AT2G28720.1;AT5G02570.1;AT2G37470.1	AT5G22880.1 | Symbols: H2B, HTB2 | histone B2 | chr5:7652130-7652567 REVERSE LENGTH=145;AT3G46030.1 | Symbols: HTB11 | Histone superfamily protein | chr3:16913614-16914051 REVERSE LENGTH=145;AT1G07790.1 | Symbols: HTB1 | Histone superfamily protein | chr1:
25.5336	24.3227	26.3101	26.074	25.4929	25.5185	25.0972	22.7453							10	10	10	56.2	56.2	56.2	27.52	0	72.34	2420400000	213	0.320791	0.123756	0.64179	0.457386	0.561924	0.667216	1.09326	4.08446	AT1G07890.6;AT1G07890.8;AT1G07890.7;AT1G07890.5;AT1G07890.4;AT1G07890.3;AT1G07890.2;AT1G07890.1	AT1G07890.6;AT1G07890.8;AT1G07890.7;AT1G07890.5;AT1G07890.4;AT1G07890.3;AT1G07890.2;AT1G07890.1	AT1G07890.6 | Symbols: APX1, MEE6, CS1, ATAPX1, ATAPX01 | ascorbate peroxidase 1 | chr1:2438005-2439349 FORWARD LENGTH=249;AT1G07890.8 | Symbols: APX1, MEE6, CS1, ATAPX1, ATAPX01 | ascorbate peroxidase 1 | chr1:2438005-2439435 FORWARD LENGTH=250;AT1G07890.
29.7302	27.7695	30.5959	28.8103	30.27	27.8802	30.1231	28.0202							28	28	28	62.6	62.6	62.6	49.502	0	323.31	40352000000	1391	0.573083	0.428878	0.501461	0.118078	0.141354	0.116757	0.231233	0.416551	AT5G60390.3;AT5G60390.1;AT1G07940.2;AT1G07940.1;AT1G07930.1;AT1G07920.1;AT5G60390.2;AT1G07930.2;AT1G35550.1	AT5G60390.3;AT5G60390.1;AT1G07940.2;AT1G07940.1;AT1G07930.1;AT1G07920.1;AT5G60390.2;AT1G07930.2	AT5G60390.3 | Symbols:  | GTP binding Elongation factor Tu family protein | chr5:24289226-24290675 FORWARD LENGTH=449;AT5G60390.1 | Symbols:  | GTP binding Elongation factor Tu family protein | chr5:24289226-24290675 FORWARD LENGTH=449;AT1G07940.2 | Symbol
23.1232	22.0501	24.2146	23.0984	23.1808	22.5621	23.5579	22.4777							10	4	4	32.4	12	12	24.469	0	10.05	464590000	44	0.347807	0.809497	0.10922	0.573578	0.578839	0.895826	0.235196	2.03314	AT1G08360.1	AT1G08360.1	AT1G08360.1 | Symbols:  | Ribosomal protein L1p/L10e family | chr1:2636231-2637694 FORWARD LENGTH=216
21.6633	20.2688	20.6515	21.4671	23.4159	21.6875	23.1143	21.6944							11	11	11	21.7	21.7	21.7	83.283	0	29.991	220990000	35	0.991126	0.574457	1.67045	1.26325	0.387086	1.01139	0.567657	2.16618	AT1G08520.1	AT1G08520.1	AT1G08520.1 | Symbols: ALB1, ALB-1V, V157, PDE166, CHLD | ALBINA 1 | chr1:2696538-2700819 FORWARD LENGTH=760
21.0274	21.1387	20.6493	22.2889	20.2037	19.5182	20.4269	19.8381							2	2	2	25	25	25	15.098	0	18.645	149040000	10	1.90938	1.26648	2.11964	2.65144	0.392516	2.86835	2.05547	0.337182	AT1G08830.2;AT1G08830.1	AT1G08830.2;AT1G08830.1	AT1G08830.2 | Symbols: CSD1 | copper/zinc superoxide dismutase 1 | chr1:2827700-2829053 FORWARD LENGTH=152;AT1G08830.1 | Symbols: CSD1 | copper/zinc superoxide dismutase 1 | chr1:2827700-2829053 FORWARD LENGTH=152
22.5371	22.8565	27.1271	28.0359	30.0508	30.2055	29.3851	29.946				RPT5b	RP	RPT	49	19	19	84.6	45.9	45.9	47.037	0	323.31	28405000000	931	1.19137	1.23708	0.687013	0.366018	0.117932	0.491419	0.266297	0.678885	AT1G09100.1	AT1G09100.1	AT1G09100.1 | Symbols: RPT5B | 26S proteasome AAA-ATPase subunit RPT5B | chr1:2936675-2939258 REVERSE LENGTH=423
20.6929	19.0982	20.3272	20.57	20.5496	18.4017	20.0686	18.3645							1	1	1	5.5	5.5	5.5	36.307	0.0066414	2.7997	15688000	1	0.666075	0.544615	1.4498	1.41994	1.30578	0.453943	0.43354	0.486906	AT1G09130.2;AT1G09130.1;AT1G09130.3	AT1G09130.2;AT1G09130.1;AT1G09130.3	AT1G09130.2 | Symbols:  | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | chr1:2940063-2942217 REVERSE LENGTH=330;AT1G09130.1 | Symbols:  | ATP-dependent caseinolytic (Clp) protease/crotonase family protein | chr1:2940063-2942217 REVER
20.3829	21.2423	21.4839	23.8	22.8612	23.9625	23.3219	24.5215							2	2	2	13.2	13.2	13.2	15.268	0	4.1823	440760000	8	1.53308	2.19821	1.8599	0.288257	0.108305	0.470652	0.569793	0.296172	AT5G65360.1;AT5G10980.1;AT5G10400.1;AT5G10390.1;AT4G40040.2;AT4G40040.1;AT4G40030.3;AT4G40030.1;AT3G27360.1;AT1G09200.1;AT4G40030.2;AT1G75600.1;AT1G13370.1;AT5G65350.1	AT5G65360.1;AT5G10980.1;AT5G10400.1;AT5G10390.1;AT4G40040.2;AT4G40040.1;AT4G40030.3;AT4G40030.1;AT3G27360.1;AT1G09200.1;AT4G40030.2;AT1G75600.1;AT1G13370.1;AT5G65350.1	AT5G65360.1 | Symbols:  | Histone superfamily protein | chr5:26120099-26120509 REVERSE LENGTH=136;AT5G10980.1 | Symbols:  | Histone superfamily protein | chr5:3472591-3473349 REVERSE LENGTH=136;AT5G10400.1 | Symbols:  | Histone superfamily protein | chr5:3
22.0703	21.0001	22.9831	21.4818	21.9359	20.8369	20.9033	19.5527							6	5	5	23	20.6	20.6	50.078	0	22.045	118470000	23	0.502693	1.07991	0.194524	1.55595	0.167548	0.510826	1.53421	1.1015	AT1G09270.3;AT1G09270.2;AT1G09270.1	AT1G09270.3;AT1G09270.2;AT1G09270.1	AT1G09270.3 | Symbols: IMPA-4 | importin alpha isoform 4 | chr1:2995162-2997833 FORWARD LENGTH=456;AT1G09270.2 | Symbols: IMPA-4 | importin alpha isoform 4 | chr1:2994506-2997833 FORWARD LENGTH=538;AT1G09270.1 | Symbols: IMPA-4 | importin alpha isoform 4 |
23.848	22.4579	24.6703	24.3183	23.4737	23.2132	24.0462	22.6587							10	10	10	55.3	55.3	55.3	19.947	0	42.846	769460000	81	0.448847	0.573594	0.765149	0.916757	0.561963	1.4483	0.520414	1.59782	AT1G09310.1	AT1G09310.1	AT1G09310.1 | Symbols:  | Protein of unknown function, DUF538 | chr1:3009109-3009648 FORWARD LENGTH=179
21.8503	20.8426	22.198	19.9363	22.862	21.1502	22.7838	20.8359							7	7	7	22	22	22	42.619	0	23.49	174450000	30	1.28775	1.26967	1.63735	0.73279	0.585891	1.4826	0.660958	1.59996	AT1G09340.1	AT1G09340.1	AT1G09340.1 | Symbols: CRB, CSP41B, HIP1.3 | chloroplast RNA binding | chr1:3015473-3018035 FORWARD LENGTH=378
25.1062	23.4964	26.42	23.5309	25.4301	25.3941	25.7039	23.5251							14	14	14	67.7	67.7	67.7	18.709	0	79.072	2044100000	126	0.184549	1.03868	0.0779622	2.91514	0.519856	2.32554	0.202052	1.9554	AT1G57860.1;AT1G57660.1;AT1G09690.1;AT1G09590.1	AT1G57860.1;AT1G57660.1;AT1G09690.1;AT1G09590.1	AT1G57860.1 | Symbols:  | Translation protein SH3-like family protein | chr1:21430034-21430827 REVERSE LENGTH=164;AT1G57660.1 | Symbols:  | Translation protein SH3-like family protein | chr1:21355567-21356364 FORWARD LENGTH=164;AT1G09690.1 | Symbols:  | Tr
23.8624	23.2978	25.062	23.1415	24.2314	23.3638	24.2745	22.5309							18	9	9	50	28	28	46.66	0	39.007	739390000	72	0.388633	0.500317	0.323489	2.092	0.144514	0.443664	0.280755	2.14582	AT1G09640.1;AT1G09640.2	AT1G09640.1;AT1G09640.2	AT1G09640.1 | Symbols:  | Translation elongation factor EF1B, gamma chain | chr1:3120162-3122152 FORWARD LENGTH=414;AT1G09640.2 | Symbols:  | Translation elongation factor EF1B, gamma chain | chr1:3120162-3122152 FORWARD LENGTH=265
22.6508	23.5181	23.4753	24.1615	22.948	23.4857	22.3101	23.5709							5	5	5	26.9	26.9	26.9	18.15	0	175.18	516960000	34	0.627878	0.590707	0.36714	1.1317	0.216791	0.729903	1.80034	0.333872	AT1G09740.1	AT1G09740.1	AT1G09740.1 | Symbols:  | Adenine nucleotide alpha hydrolases-like superfamily protein | chr1:3154603-3155834 FORWARD LENGTH=171
